,STATE,COUNTY,CENSUSAREA,fips
0,01,001,594.436,01001
1,01,009,644.776,01009
2,01,017,596.531,01017
3,01,021,692.854,01021
4,01,033,592.619,01033
5,01,045,561.15,01045
6,01,051,618.485,01051
7,01,065,643.943,01065
8,01,079,690.678,01079
9,01,083,559.936,01083
10,01,099,1025.675,01099
11,01,107,881.408,01107
12,01,121,736.775,01121
13,02,050,40570.004,02050
14,02,105,7524.915,02105
15,02,122,16075.331,02122
16,02,150,6549.579,02150
17,02,164,23652.009,02164
18,02,180,22961.761,02180
19,02,188,35572.584,02188
20,02,198,3922.873,02198
21,05,141,708.143,05141
22,05,145,1035.075,05145
23,06,005,594.583,06005
24,06,021,1313.947,06021
25,06,033,1256.464,06033
26,06,043,1448.816,06043
27,06,055,748.362,06055
28,06,089,3775.402,06089
29,06,099,1494.827,06099
30,06,115,631.839,06115
31,08,003,722.643,08003
32,08,013,726.289,08013
33,08,014,33.034,08014
34,08,025,787.421,08025
35,08,031,153.0,08031
36,08,035,840.248,08035
37,08,047,149.896,08047
38,12,083,1584.546,12083
39,12,087,983.282,12087
40,12,095,903.429,12095
41,12,111,571.926,12111
42,12,119,546.933,12119
43,12,125,243.556,12125
44,13,001,507.081,13001
45,13,013,160.309,13013
46,13,029,435.967,13029
47,13,043,243.044,13043
48,13,055,313.338,13055
49,13,059,119.2,13059
50,13,071,544.153,13071
51,13,079,324.888,13079
52,13,091,495.89,13091
53,13,107,680.604,13107
54,13,113,194.342,13113
55,13,123,426.54,13123
56,08,053,1117.251,08053
57,08,057,1613.723,08057
58,08,059,764.208,08059
59,08,073,2577.626,08073
60,08,083,2029.527,08083
61,08,095,687.928,08095
62,08,105,911.958,08105
63,08,111,387.488,08111
64,08,123,3987.238,08123
65,09,015,512.91,09015
66,12,001,875.02,12001
67,12,013,567.334,12013
68,12,023,797.574,12023
69,12,039,516.332,12039
70,12,055,1016.615,12055
71,12,059,478.777,12059
72,12,073,666.852,12073
73,02,261,34239.88,02261
74,02,270,17081.433,02270
75,04,003,6165.69,04003
76,04,013,9200.143,04013
77,05,001,988.77,05001
78,05,009,590.231,05009
79,05,019,866.074,05019
80,05,029,552.25,05029
81,05,043,828.356,05043
82,05,051,677.781,05051
83,05,061,588.554,05061
84,05,071,659.804,05071
85,05,085,770.728,05085
86,05,097,779.88,05097
87,05,101,820.896,05101
88,05,111,758.389,05111
89,05,123,634.771,05123
90,05,129,666.095,05129
91,13,309,295.484,13309
92,13,313,290.464,13313
93,13,319,447.308,13319
94,15,009,1161.521,15009
95,16,015,1899.237,16015
96,16,021,1268.56,16021
97,16,045,560.9,16045
98,16,051,1093.501,16051
99,16,057,1075.996,16057
100,16,067,757.591,16067
101,16,081,449.456,16081
102,17,005,380.279,17005
103,17,009,305.607,17009
104,17,019,996.266,17019
105,17,029,508.291,17029
106,17,035,346.024,17035
107,17,049,478.777,17049
108,17,055,408.889,17055
109,17,065,434.665,17065
110,18,051,487.486,18051
111,18,059,306.016,18059
112,18,069,382.651,18069
113,18,079,376.583,18079
114,18,085,531.381,18085
115,18,095,451.915,18095
116,18,105,394.509,18105
117,18,115,86.14,18115
118,18,125,334.238,18125
119,18,131,433.649,18131
120,18,139,408.124,18139
121,18,153,447.142,18153
122,18,173,384.815,18173
123,18,179,368.087,18179
124,18,183,335.569,18183
125,19,009,442.961,19009
126,19,017,435.477,19017
127,19,021,574.915,19021
128,19,031,579.436,19031
129,19,039,431.167,19039
130,17,073,822.985,17073
131,17,077,584.081,17077
132,17,079,494.51,17079
133,17,089,520.058,17089
134,17,103,724.896,17103
135,17,107,618.059,17107
136,17,121,572.363,17121
137,17,129,314.437,17129
138,17,139,335.943,17139
139,17,145,441.761,17145
140,17,155,160.161,17155
141,17,169,437.273,17169
142,17,175,288.079,17175
143,17,179,648.974,17179
144,17,189,562.572,17189
145,17,203,527.799,17203
146,18,009,165.08,18009
147,18,011,422.913,18011
148,18,021,357.542,18021
149,18,033,362.824,18033
150,13,125,143.74,13125
151,13,129,355.808,13129
152,13,131,454.527,13131
153,13,139,392.782,13139
154,13,157,339.663,13157
155,13,169,393.933,13169
156,13,175,807.296,13175
157,13,187,282.933,13187
158,13,197,366.003,13197
159,13,201,282.421,13201
160,13,217,272.161,13217
161,13,225,150.267,13225
162,13,233,310.331,13233
163,13,243,428.236,13243
164,13,253,235.226,13253
165,13,265,194.608,13265
166,13,277,258.915,13277
167,13,285,413.988,13285
168,13,293,323.437,13293
169,13,303,678.452,13303
170,20,027,645.301,20027
171,20,029,715.342,20029
172,20,039,893.517,20039
173,20,049,644.265,20049
174,20,065,898.522,20065
175,20,075,996.508,20075
176,20,085,656.217,20085
177,20,095,863.363,20095
178,20,105,719.396,20105
179,20,115,944.29,20115
180,20,127,695.279,20127
181,20,135,1074.75,20135
182,20,145,754.263,20145
183,20,155,1255.346,20155
184,20,163,890.533,20163
185,20,173,997.512,20173
186,20,185,792.046,20185
187,20,195,889.478,20195
188,20,203,718.568,20203
189,20,205,570.418,20205
190,21,183,587.274,21183
191,21,187,351.103,21187
192,21,189,197.407,21189
193,21,199,658.408,21199
194,21,209,281.766,21209
195,21,219,374.496,21219
196,21,229,297.266,21229
197,22,001,655.119,22001
198,22,013,811.268,22013
199,22,033,455.374,22033
200,22,053,651.328,22053
201,22,073,610.406,22073
202,22,077,557.346,22077
203,22,089,279.083,22089
204,22,105,791.275,22105
205,22,115,1327.91,22115
206,21,003,344.338,21003
207,21,009,487.541,21009
208,21,017,289.719,21017
209,21,025,492.413,21025
210,21,031,426.088,21031
211,21,043,409.496,21043
212,21,053,197.246,21053
213,21,063,234.315,21063
214,21,077,101.234,21077
215,21,087,286.034,21087
216,21,099,412.086,21099
217,21,103,286.276,21103
218,21,115,261.953,21115
219,21,121,386.297,21121
220,21,137,334.095,21137
221,21,143,213.84,21143
222,21,151,437.293,21151
223,21,157,301.253,21157
224,21,169,289.645,21169
225,21,175,381.127,21175
226,19,045,694.915,19045
227,19,047,714.19,19047
228,19,055,577.756,19055
229,19,063,395.883,19063
230,19,067,500.632,19067
231,19,079,576.751,19079
232,19,087,434.328,19087
233,19,095,586.457,19095
234,19,105,575.621,19105
235,19,113,716.88,19113
236,19,121,561.006,19121
237,19,125,554.534,19125
238,19,137,424.097,19137
239,19,141,573.035,19141
240,19,151,577.241,19151
241,19,161,575.012,19161
242,19,169,572.818,19169
243,19,175,423.645,19175
244,19,181,569.827,19181
245,19,195,400.123,19195
246,20,005,431.172,20005
247,20,015,1429.863,20015
248,27,073,765.021,27073
249,27,083,714.559,27083
250,27,085,491.471,27085
251,27,093,608.178,27093
252,27,103,448.494,27103
253,27,113,616.57,27113
254,27,121,669.713,27121
255,27,127,878.572,27127
256,27,147,429.645,27147
257,27,153,944.982,27153
258,27,161,423.356,27161
259,28,003,400.038,28003
260,28,013,586.573,28013
261,28,017,501.779,28017
262,28,029,777.244,28029
263,28,037,563.779,28037
264,28,049,869.741,28049
265,28,061,676.243,28061
266,28,065,408.443,28065
267,28,075,703.634,28075
268,22,121,192.394,22121
269,22,127,950.086,22127
270,23,009,1586.893,23009
271,23,029,2562.66,23029
272,24,001,424.158,24001
273,24,003,414.902,24003
274,24,009,213.152,24009
275,24,017,457.749,24017
276,24,019,540.765,24019
277,24,029,277.03,24029
278,24,035,371.908,24035
279,24,037,357.18,24037
280,24,039,319.723,24039
281,24,041,268.538,24041
282,25,011,699.319,25011
283,26,009,475.703,26009
284,26,015,553.092,26015
285,26,023,506.369,26023
286,26,035,564.315,26035
287,26,037,566.408,26037
288,26,045,575.175,26045
289,26,057,568.464,26057
290,26,061,1009.099,26061
291,26,073,572.677,26073
292,26,077,561.658,26077
293,26,083,540.112,26083
294,26,085,567.37,26085
295,26,091,749.555,26091
296,26,097,1021.569,26097
297,26,103,1808.401,26103
298,26,107,555.071,26107
299,26,111,516.253,26111
300,26,117,705.399,26117
301,26,123,813.204,26123
302,26,133,566.391,26133
303,26,143,519.636,26143
304,26,155,530.668,26155
305,26,161,705.965,26161
306,26,165,565.002,26165
307,27,009,408.301,27009
308,27,019,354.325,27019
309,27,029,998.94,27029
310,27,039,439.276,27039
311,27,051,548.16,27051
312,27,057,925.675,27057
313,27,067,796.785,27067
314,29,097,638.487,29097
315,29,103,504.011,29103
316,29,109,611.737,29109
317,29,117,532.329,29117
318,29,131,592.595,29131
319,29,137,647.653,29137
320,29,151,604.346,29151
321,29,159,682.222,29159
322,29,169,547.099,29169
323,29,179,808.478,29179
324,29,195,755.504,29195
325,29,205,500.864,29205
326,29,211,647.981,29211
327,29,221,759.913,29221
328,29,229,681.771,29229
329,30,013,2698.158,30013
330,30,037,1175.342,30037
331,30,043,1656.257,30043
332,31,121,484.881,31121
333,31,125,441.633,31125
334,31,135,883.335,31135
335,31,137,539.79,31137
336,31,147,551.84,31147
337,31,159,571.428,31159
338,31,163,565.828,31163
339,31,171,713.236,31171
340,31,183,575.182,31183
341,32,009,3581.876,32009
342,32,021,3752.844,32021
343,32,033,8875.648,32033
344,34,007,221.263,34007
345,34,015,322.005,34015
346,34,031,184.593,34031
347,35,001,1160.828,35001
348,35,006,4539.48,35006
349,30,051,1430.045,30051
350,30,059,2391.913,30059
351,30,069,1654.871,30069
352,30,093,718.477,30093
353,30,099,2272.375,30099
354,30,107,1423.195,30107
355,31,003,857.218,31003
356,31,009,710.874,31009
357,31,023,584.907,31023
358,31,035,572.289,31035
359,31,037,411.66,31037
360,31,047,1013.096,31047
361,31,053,528.706,31053
362,31,063,974.592,31063
363,31,073,458.155,31073
364,31,085,713.062,31085
365,31,093,569.337,31093
366,31,097,376.051,31097
367,31,117,858.976,31117
368,28,079,583.0,28079
369,28,083,592.539,28083
370,28,095,765.094,28095
371,28,099,570.141,28099
372,28,103,695.138,28103
373,28,115,497.689,28115
374,28,117,414.98,28117
375,28,127,589.163,28127
376,28,139,457.815,28139
377,28,151,724.741,28151
378,29,001,567.324,29001
379,29,009,778.251,29009
380,29,021,408.027,29021
381,29,033,694.621,29033
382,29,043,562.645,29043
383,29,053,564.765,29053
384,29,065,752.79,29065
385,29,075,491.422,29075
386,29,085,399.091,29085
387,37,001,423.943,37001
388,37,005,235.059,37005
389,37,017,874.328,37017
390,37,021,656.672,37021
391,37,027,471.566,37027
392,37,055,383.42,37055
393,37,057,552.675,37057
394,37,067,408.148,37067
395,37,081,645.704,37081
396,37,091,353.06,37091
397,37,103,470.708,37103
398,37,117,461.217,37117
399,37,127,540.407,37127
400,37,141,869.795,37141
401,37,151,782.517,37151
402,37,165,318.845,37165
403,37,167,395.086,37167
404,39,055,400.164,39055
405,39,063,531.358,39063
406,39,065,470.405,39065
407,39,075,422.533,39075
408,39,089,682.5,39089
409,39,097,465.875,39097
410,39,109,406.58,39109
411,39,121,398.012,39121
412,39,131,440.282,39131
413,39,143,408.453,39143
414,39,147,551.017,39147
415,39,159,431.73,39159
416,39,169,554.929,39169
417,39,173,617.205,39173
418,40,009,901.805,40009
419,40,019,822.175,40019
420,40,031,1069.287,40031
421,40,043,999.476,40043
422,40,053,1000.871,40053
423,37,181,253.517,37181
424,37,191,553.087,37191
425,37,197,334.829,37197
426,38,007,1148.853,38007
427,38,019,1488.751,38019
428,38,031,635.453,38031
429,38,035,1436.376,38035
430,38,045,1145.943,38045
431,38,061,1825.298,38061
432,38,073,862.357,38073
433,38,079,903.079,38079
434,38,091,712.215,38091
435,38,103,1271.047,38103
436,39,003,402.496,39003
437,39,015,490.016,39015
438,39,027,408.684,39027
439,39,039,411.46,39039
440,39,047,406.357,39047
441,35,015,4175.726,35015
442,35,027,4831.091,35027
443,35,028,109.167,35028
444,35,045,5513.067,35045
445,35,053,6646.679,35053
446,36,003,1029.308,36003
447,36,021,634.705,36021
448,36,037,492.936,36037
449,36,043,1411.47,36043
450,36,057,403.043,36057
451,36,069,644.065,36069
452,36,083,652.431,36083
453,36,095,621.819,36095
454,36,109,474.649,36109
455,36,121,592.746,36121
456,36,123,338.143,36123
457,42,013,525.8,42013
458,42,015,1147.399,42015
459,42,021,688.351,42021
460,42,031,600.834,42031
461,42,047,827.358,42047
462,42,063,827.03,42063
463,42,069,459.078,42069
464,42,087,411.031,42087
465,42,093,130.242,42093
466,42,105,1081.323,42105
467,42,113,449.94,42113
468,42,123,884.135,42123
469,45,005,408.09,45005
470,45,009,393.37,45009
471,45,027,606.936,45027
472,45,039,686.277,45039
473,47,005,394.142,47005
474,47,007,406.425,47007
475,47,013,480.191,47013
476,47,027,236.536,47027
477,47,031,428.957,47031
478,47,045,512.327,47045
479,47,057,280.6,47057
480,47,069,667.768,47069
481,47,081,612.499,47081
482,47,093,508.215,47093
483,47,105,229.216,47105
484,47,117,375.46,47117
485,47,129,522.18,47129
486,47,139,434.676,47139
487,47,151,532.297,47151
488,47,173,223.549,47173
489,47,179,326.465,47179
490,45,049,559.896,45049
491,45,053,655.318,45053
492,45,075,1106.101,45075
493,45,081,452.778,45081
494,46,003,708.425,46003
495,46,007,1184.709,46007
496,46,017,471.384,46017
497,46,029,688.495,46029
498,46,035,435.555,46035
499,46,043,431.802,46043
500,46,055,1810.534,46055
501,46,061,434.513,46061
502,46,087,574.204,46087
503,46,095,1307.306,46095
504,46,103,2776.553,46103
505,46,111,569.321,46111
506,46,125,617.057,46125
507,46,137,1961.272,46137
508,40,059,1039.017,40059
509,40,063,804.647,40063
510,40,073,898.161,40073
511,40,081,952.314,40081
512,40,087,570.701,40087
513,40,097,655.386,40097
514,40,109,708.819,40109
515,40,123,720.435,40123
516,40,127,1395.836,40127
517,40,147,415.454,40147
518,40,153,1242.399,40153
519,41,017,3018.186,41017
520,41,031,1780.785,41031
521,41,037,8138.984,41037
522,41,053,740.787,41053
523,41,069,1714.749,41069
524,42,005,653.203,42005
525,48,357,917.627,48357
526,48,359,1500.533,48359
527,48,367,903.478,48367
528,48,379,229.452,48379
529,48,381,911.544,48381
530,48,393,924.058,48393
531,48,397,127.036,48397
532,48,411,1135.297,48411
533,48,425,186.463,48425
534,48,429,896.719,48429
535,48,433,916.313,48433
536,48,445,888.839,48445
537,48,449,406.054,48449
538,48,459,582.947,48459
539,48,463,1551.946,48463
540,48,475,835.602,48475
541,48,491,1118.303,48491
542,48,497,904.422,48497
543,48,507,1297.406,48507
544,49,011,298.778,49011
545,47,185,376.673,47185
546,47,189,570.826,47189
547,48,009,903.11,48009
548,48,011,909.109,48011
549,48,021,888.15,48021
550,48,031,709.251,48031
551,48,047,943.364,48047
552,48,053,994.258,48053
553,48,063,195.826,48063
554,48,069,894.434,48069
555,48,079,775.15,48079
556,48,095,983.799,48095
557,48,099,1052.066,48099
558,48,103,785.069,48103
559,48,115,900.306,48115
560,48,123,908.975,48123
561,48,127,1328.884,48127
562,48,137,2117.858,48137
563,48,149,950.008,48149
564,48,159,284.391,48159
565,48,169,893.412,48169
566,48,177,1066.688,48177
567,48,179,925.974,48179
568,48,185,787.459,48185
569,48,191,883.492,48191
570,48,195,919.81,48195
571,48,217,958.864,48217
572,48,227,900.791,48227
573,48,233,887.419,48233
574,48,247,1136.138,48247
575,48,251,724.692,48251
576,48,263,902.507,48263
577,48,265,1103.318,48265
578,48,275,850.621,48275
579,48,283,1486.691,48283
580,48,297,1039.696,48297
581,48,303,895.599,48303
582,48,309,1037.101,48309
583,48,319,928.803,48319
584,48,329,900.299,48329
585,48,339,1041.735,48339
586,48,349,1009.627,48349
587,48,353,911.997,48353
588,51,121,387.014,51121
589,51,125,470.856,51125
590,51,141,483.096,51141
591,51,145,260.221,51145
592,51,155,319.858,51155
593,51,157,266.227,51157
594,51,173,450.928,51173
595,51,187,213.465,51187
596,51,197,461.824,51197
597,51,510,15.027,51510
598,51,530,6.704,51530
599,51,540,10.238,51540
600,51,595,6.894,51595
601,51,660,17.418,51660
602,51,670,10.278,51670
603,51,760,59.805,51760
604,51,775,14.437,51775
605,51,820,15.039,51820
606,53,013,868.629,53013
607,53,021,1242.171,53021
608,55,029,481.978,55029
609,55,033,850.105,55033
610,55,039,719.553,55039
611,55,045,583.957,55045
612,55,063,451.686,55063
613,55,069,878.973,55069
614,55,073,1544.983,55073
615,55,081,900.776,55081
616,55,095,913.962,55095
617,55,103,586.151,55103
618,55,115,893.057,55115
619,55,129,797.113,55129
620,55,141,793.116,55141
621,56,025,5340.352,56025
622,56,031,2084.208,56031
623,56,033,2523.993,56033
624,56,045,2398.089,56045
625,72,013,125.947,72013
626,53,041,2402.802,53041
627,53,045,959.417,53045
628,53,065,2477.765,53065
629,54,001,341.059,54001
630,54,007,510.812,54007
631,54,013,279.249,54013
632,54,021,338.503,54021
633,54,039,901.587,54039
634,54,049,308.735,54049
635,54,061,360.062,54061
636,54,079,345.669,54079
637,54,089,360.46,54089
638,54,101,553.468,54101
639,55,003,1045.035,55003
640,55,005,862.711,55005
641,55,007,1477.863,55007
642,55,017,1008.373,55017
643,55,025,1197.239,55025
644,49,029,609.196,49029
645,49,031,757.791,49031
646,49,035,742.282,49035
647,49,051,1175.501,49051
648,50,005,648.864,50005
649,50,019,693.268,50019
650,51,007,355.269,51007
651,51,017,529.158,51017
652,51,029,579.657,51029
653,51,043,176.177,51043
654,51,047,379.234,51047
655,51,063,380.42,51063
656,51,075,281.415,51075
657,51,101,273.941,51101
658,51,111,431.683,51111
659,51,113,320.683,51113
660,01,023,913.5,01023
661,01,025,1238.465,01025
662,01,029,560.1,01029
663,01,031,678.972,01031
664,01,037,650.926,01037
665,01,047,978.695,01047
666,01,055,534.991,01055
667,01,059,633.821,01059
668,01,061,574.408,01061
669,01,067,561.75,01067
670,01,071,1077.868,01071
671,01,081,607.536,01081
672,01,085,715.911,01085
673,01,087,608.885,01087
674,01,089,801.593,01089
675,02,070,18568.778,02070
676,02,110,2701.931,02110
677,02,130,4858.414,02130
678,02,185,88695.413,02185
679,02,195,3281.982,02195
680,02,220,2870.339,02220
681,02,230,452.325,02230
682,05,143,941.966,05143
683,05,147,586.791,05147
684,06,003,738.332,06003
685,06,007,1636.464,06007
686,01,093,742.292,01093
687,01,095,565.842,01095
688,01,097,1229.435,01097
689,01,101,784.247,01101
690,01,117,784.93,01117
691,01,119,903.887,01119
692,01,125,1321.755,01125
693,01,131,888.498,01131
694,02,020,1704.683,02020
695,02,068,12751.411,02068
696,72,019,34.253,72019
697,72,025,58.597,72025
698,72,031,45.321,72031
699,72,045,28.401,72045
700,72,054,15.209,72054
701,72,061,27.579,72061
702,72,069,44.755,72069
703,72,083,46.36,72083
704,72,093,36.623,72093
705,72,105,27.401,72105
706,72,115,22.683,72115
707,72,129,53.108,72129
708,72,135,27.016,72135
709,72,145,45.856,72145
710,01,007,622.582,01007
711,01,011,622.805,01011
712,01,015,605.868,01015
713,06,045,3506.343,06045
714,06,049,3917.77,06049
715,06,051,3048.982,06051
716,06,057,957.772,06057
717,06,059,790.568,06059
718,06,065,7206.48,06065
719,06,069,1388.71,06069
720,06,073,4206.63,06073
721,06,075,46.873,06075
722,06,113,1014.689,06113
723,08,001,1167.653,08001
724,08,007,1350.175,08007
725,08,009,2554.967,08009
726,08,015,1013.403,08015
727,08,017,1778.276,08017
728,08,021,1287.391,08021
729,08,023,1226.952,08023
730,08,029,1142.05,08029
731,08,037,1684.53,08037
732,08,043,1533.068,08043
733,06,081,448.408,06081
734,06,083,2735.085,06083
735,06,087,445.17,06087
736,06,095,821.765,06095
737,06,101,602.41,06101
738,06,103,2949.709,06103
739,06,109,2220.884,06109
740,06,009,1020.012,06009
741,06,013,715.937,06013
742,06,015,1006.373,06015
743,02,013,6981.943,02013
744,13,149,296.03,13149
745,20,059,571.756,20059
746,06,025,4176.603,06025
747,06,029,8131.916,06029
748,06,031,1389.42,06031
749,06,039,2137.069,06039
750,13,067,339.549,13067
751,13,069,575.097,13069
752,13,073,290.09,13073
753,13,077,440.892,13077
754,13,081,272.583,13081
755,13,087,597.14,13087
756,13,093,391.94,13093
757,13,095,328.689,13095
758,13,101,414.894,13101
759,13,103,477.7,13103
760,13,109,182.853,13109
761,13,115,509.911,13115
762,13,119,261.497,13119
763,08,061,1767.767,08061
764,08,063,2160.822,08063
765,08,069,2596.002,08069
766,12,089,648.639,12089
767,12,091,930.247,12091
768,12,097,1327.453,12097
769,12,099,1969.763,12099
770,12,101,746.886,12101
771,12,107,727.622,12107
772,12,109,600.655,12109
773,12,113,1011.605,12113
774,12,115,555.868,12115
775,12,117,309.221,12117
776,12,127,1101.032,12127
777,12,131,1037.625,12131
778,13,003,339.382,13003
779,13,005,258.576,13005
780,13,009,257.844,13009
781,13,015,459.544,13015
782,13,023,215.87,13023
783,13,025,442.362,13025
784,13,031,672.809,13031
785,13,037,280.367,13037
786,13,049,773.576,13049
787,13,053,248.736,13053
788,13,057,421.674,13057
789,13,063,141.57,13063
790,09,013,410.214,09013
791,10,005,936.079,10005
792,11,001,61.048,11001
793,12,003,585.231,12003
794,12,005,758.459,12005
795,12,011,1209.785,12011
796,12,015,680.279,12015
797,12,071,784.513,12071
798,12,079,695.948,12079
799,12,081,742.931,12081
800,02,275,2541.483,02275
801,08,085,2240.695,08085
802,12,017,581.696,12017
803,12,029,705.053,12029
804,12,031,762.192,12031
805,12,041,349.677,12041
806,12,043,806.009,12043
807,12,045,564.012,12045
808,12,049,637.783,12049
809,12,051,1152.75,12051
810,12,053,472.539,12053
811,12,061,502.872,12061
812,12,063,917.76,12063
813,12,069,938.381,12069
814,08,075,1838.547,08075
815,08,077,3328.974,08077
816,08,081,4743.29,08081
817,08,087,1280.433,08087
818,08,091,541.593,08091
819,08,097,970.697,08097
820,08,103,3220.934,08103
821,08,109,3168.525,08109
822,08,119,557.055,08119
823,08,121,2518.031,08121
824,08,125,2364.405,08125
825,09,003,735.097,09003
826,09,007,369.301,09007
827,05,015,630.087,05015
828,05,017,644.304,05017
829,05,025,597.783,05025
830,05,027,766.053,05027
831,05,033,593.094,05033
832,05,045,647.884,05045
833,05,047,608.857,05047
834,05,053,631.809,05053
835,05,059,615.202,05059
836,05,067,633.938,05067
837,05,073,528.268,05073
838,05,081,532.253,05081
839,05,083,708.125,05083
840,05,087,834.255,05087
841,15,001,4028.417,15001
842,15,007,619.956,15007
843,16,001,1052.576,16001
844,16,003,1363.056,16003
845,16,009,776.617,16009
846,16,017,1734.573,16017
847,16,019,1866.077,16019
848,05,089,597.009,05089
849,05,091,625.578,05091
850,05,093,900.574,05093
851,05,099,617.837,05099
852,05,103,732.783,05103
853,05,113,857.679,05113
854,05,115,812.548,05115
855,05,121,652.191,05121
856,05,133,565.126,05133
857,05,137,606.405,05137
858,13,317,469.49,13317
859,13,321,570.702,13321
860,04,005,18618.885,04005
861,04,009,4622.597,04009
862,04,011,1843.126,04011
863,04,012,4499.629,04012
864,04,017,9950.422,04017
865,04,021,5365.612,04021
866,04,023,1236.916,04023
867,04,027,5513.992,04027
868,05,003,925.349,05003
869,05,013,628.581,05013
870,16,071,1200.061,16071
871,16,077,1404.244,16077
872,16,079,2629.665,16079
873,16,083,1921.213,16083
874,17,003,235.509,17003
875,17,007,280.719,17007
876,17,011,869.031,17011
877,17,015,444.807,17015
878,17,023,501.418,17023
879,17,033,443.629,17033
880,17,037,631.307,17037
881,17,041,416.665,17041
882,17,043,327.499,17043
883,18,117,398.387,18117
884,18,121,444.663,18121
885,18,127,418.153,18127
886,18,135,452.379,18135
887,18,137,446.426,18137
888,18,141,457.85,18141
889,18,149,309.134,18149
890,18,151,308.939,18151
891,18,159,260.541,18159
892,18,161,161.224,18161
893,18,167,403.313,18167
894,18,169,412.434,18169
895,18,175,513.725,18175
896,18,181,505.125,18181
897,19,001,569.271,19001
898,17,047,222.416,17047
