GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0100010","1900","Alabama","010","Autauga","0010","Autauga","41","10",17915,17915
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin","41","30",13194,13194
"G0100050","1900","Alabama","010","Barbour","0050","Barbour","41","50",35152,35152
"G0100070","1900","Alabama","010","Bibb","0070","Bibb","41","70",18498,18498
"G0100090","1900","Alabama","010","Blount","0090","Blount","41","90",23119,23119
"G0100110","1900","Alabama","010","Bullock","0110","Bullock","41","110",31944,31944
"G0100130","1900","Alabama","010","Butler","0130","Butler","41","130",25761,25761
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun","41","150",34874,34874
"G0100170","1900","Alabama","010","Chambers","0170","Chambers","41","170",32554,32554
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee","41","190",21096,21096
"G0100210","1900","Alabama","010","Chilton","0210","Chilton","41","210",16522,16522
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw","41","230",18136,18136
"G0100250","1900","Alabama","010","Clarke","0250","Clarke","41","250",27790,27790
"G0100270","1900","Alabama","010","Clay","0270","Clay","41","270",17099,17099
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne","41","290",13206,13206
"G0100310","1900","Alabama","010","Coffee","0310","Coffee","41","310",20972,20972
"G0100330","1900","Alabama","010","Colbert","0330","Colbert","41","330",22341,22341
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh","41","350",17514,17514
"G0100370","1900","Alabama","010","Coosa","0370","Coosa","41","370",16144,16144
"G0100390","1900","Alabama","010","Covington","0390","Covington","41","390",15346,15346
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw","41","410",19668,19668
"G0100430","1900","Alabama","010","Cullman","0430","Cullman","41","430",17849,17849
"G0100450","1900","Alabama","010","Dale","0450","Dale","41","450",21189,21189
"G0100470","1900","Alabama","010","Dallas","0470","Dallas","41","470",54657,54657
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb","41","490",23558,23558
"G0100510","1900","Alabama","010","Elmore","0510","Elmore","41","510",26099,26099
"G0100530","1900","Alabama","010","Escambia","0530","Escambia","41","530",11320,11320
"G0100550","1900","Alabama","010","Etowah","0550","Etowah","41","550",27361,27361
