GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A3Y001,A3Y002
"G0100010","1910","Alabama","010","Autauga","0010","Autauga","41","10",20038,17915
"G0100030","1910","Alabama","010","Baldwin","0030","Baldwin","41","30",18178,13194
"G0100050","1910","Alabama","010","Barbour","0050","Barbour","41","50",32728,35152
"G0100070","1910","Alabama","010","Bibb","0070","Bibb","41","70",22791,18498
"G0100090","1910","Alabama","010","Blount","0090","Blount","41","90",21456,19861
"G0100110","1910","Alabama","010","Bullock","0110","Bullock","41","110",30196,31944
"G0100130","1910","Alabama","010","Butler","0130","Butler","41","130",29030,25761
"G0100150","1910","Alabama","010","Calhoun","0150","Calhoun","41","150",39115,34874
"G0100170","1910","Alabama","010","Chambers","0170","Chambers","41","170",36056,32554
"G0100190","1910","Alabama","010","Cherokee","0190","Cherokee","41","190",20226,21096
"G0100210","1910","Alabama","010","Chilton","0210","Chilton","41","210",23187,16522
"G0100230","1910","Alabama","010","Choctaw","0230","Choctaw","41","230",18483,18136
"G0100250","1910","Alabama","010","Clarke","0250","Clarke","41","250",30987,27790
"G0100270","1910","Alabama","010","Clay","0270","Clay","41","270",21006,17099
"G0100290","1910","Alabama","010","Cleburne","0290","Cleburne","41","290",13385,13206
"G0100310","1910","Alabama","010","Coffee","0310","Coffee","41","310",26119,20972
"G0100330","1910","Alabama","010","Colbert","0330","Colbert","41","330",24802,22341
"G0100350","1910","Alabama","010","Conecuh","0350","Conecuh","41","350",21433,17514
"G0100370","1910","Alabama","010","Coosa","0370","Coosa","41","370",16634,16144
"G0100390","1910","Alabama","010","Covington","0390","Covington","41","390",32124,15346
"G0100410","1910","Alabama","010","Crenshaw","0410","Crenshaw","41","410",23313,19668
"G0100430","1910","Alabama","010","Cullman","0430","Cullman","41","430",28321,21107
"G0100450","1910","Alabama","010","Dale","0450","Dale","41","450",21608,
"G0100470","1910","Alabama","010","Dallas","0470","Dallas","41","470",53401,54657
"G0100490","1910","Alabama","010","DeKalb","0490","Dekalb","41","490",28261,23558
"G0100510","1910","Alabama","010","Elmore","0510","Elmore","41","510",28245,26099
"G0100530","1910","Alabama","010","Escambia","0530","Escambia","41","530",18889,11320
"G0100550","1910","Alabama","010","Etowah","0550","Etowah","41","550",39109,27361
"G0100570","1910","Alabama","010","Fayette","0570","Fayette","41","570",16248,14132
"G0100590","1910","Alabama","010","Franklin","0590","Franklin","41","590",19369,16511
"G0100610","1910","Alabama","010","Geneva","0610","Geneva","41","610",26230,
"G0100630","1910","Alabama","010","Greene","0630","Greene","41","630",22717,24182
"G0100650","1910","Alabama","010","Hale","0650","Hale","41","650",27883,31011
"G0100670","1910","Alabama","010","Henry","0670","Henry","41","670",20943,
"G0100690","1910","Alabama","010","Houston","0690","Houston","41","690",32414,22082
"G0100710","1910","Alabama","010","Jackson","0710","Jackson","41","710",32918,30508
"G0100730","1910","Alabama","010","Jefferson","0730","Jefferson","41","730",226476,140420
"G0100750","1910","Alabama","010","Lamar","0750","Lamar","41","750",17487,16084
"G0100770","1910","Alabama","010","Lauderdale","0770","Lauderdale","41","770",30936,26559
"G0100790","1910","Alabama","010","Lawrence","0790","Lawrence","41","790",21984,20124
"G0100810","1910","Alabama","010","Lee","0810","Lee","41","810",32867,31826
"G0100830","1910","Alabama","010","Limestone","0830","Limestone","41","830",26880,22387
"G0100850","1910","Alabama","010","Lowndes","0850","Lowndes","41","850",31894,35651
"G0100870","1910","Alabama","010","Macon","0870","Macon","41","870",26049,23126
"G0100890","1910","Alabama","010","Madison","0890","Madison","41","890",47041,43702
"G0100910","1910","Alabama","010","Marengo","0910","Marengo","41","910",39923,38315
"G0100930","1910","Alabama","010","Marion","0930","Marion","41","930",17495,14494
"G0100950","1910","Alabama","010","Marshall","0950","Marshall","41","950",28553,23289
"G0100970","1910","Alabama","010","Mobile","0970","Mobile","41","970",80854,62740
"G0100990","1910","Alabama","010","Monroe","0990","Monroe","41","990",27155,23666
"G0101010","1910","Alabama","010","Montgomery","1010","Montgomery","41","1010",82178,72047
"G0101030","1910","Alabama","010","Morgan","1030","Morgan","41","1030",33781,28820
"G0101050","1910","Alabama","010","Perry","1050","Perry","41","1050",31222,31783
"G0101070","1910","Alabama","010","Pickens","1070","Pickens","41","1070",25055,24402
"G0101090","1910","Alabama","010","Pike","1090","Pike","41","1090",30815,29172
"G0101110","1910","Alabama","010","Randolph","1110","Randolph","41","1110",24659,21647
"G0101130","1910","Alabama","010","Russell","1130","Russell","41","1130",25937,27083
"G0101150","1910","Alabama","010","St Clair","1150","St Clair","41","1150",20715,19425
"G0101170","1910","Alabama","010","Shelby","1170","Shelby","41","1170",26949,23684
"G0101190","1910","Alabama","010","Sumter","1190","Sumter","41","1190",28699,32710
"G0101210","1910","Alabama","010","Talladega","1210","Talladega","41","1210",37921,35773
"G0101230","1910","Alabama","010","Tallapoosa","1230","Tallapoosa","41","1230",31034,29675
