GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0100010","1920","Alabama","010","Autauga","0010","Autauga","41","10",18908,18908
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin","41","30",20730,20730
"G0100050","1920","Alabama","010","Barbour","0050","Barbour","41","50",32067,32067
"G0100070","1920","Alabama","010","Bibb","0070","Bibb","41","70",23144,23144
"G0100090","1920","Alabama","010","Blount","0090","Blount","41","90",25538,25538
"G0100110","1920","Alabama","010","Bullock","0110","Bullock","41","110",25333,25333
"G0100130","1920","Alabama","010","Butler","0130","Butler","41","130",29531,29531
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun","41","150",47822,47822
"G0100170","1920","Alabama","010","Chambers","0170","Chambers","41","170",41201,41201
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee","41","190",20862,20862
"G0100210","1920","Alabama","010","Chilton","0210","Chilton","41","210",22770,22770
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw","41","230",20753,20753
"G0100250","1920","Alabama","010","Clarke","0250","Clarke","41","250",26409,26409
"G0100270","1920","Alabama","010","Clay","0270","Clay","41","270",22645,22645
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne","41","290",13360,13360
"G0100310","1920","Alabama","010","Coffee","0310","Coffee","41","310",30070,30070
"G0100330","1920","Alabama","010","Colbert","0330","Colbert","41","330",31997,31997
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh","41","350",24593,24593
"G0100370","1920","Alabama","010","Coosa","0370","Coosa","41","370",14839,14839
"G0100390","1920","Alabama","010","Covington","0390","Covington","41","390",38103,38103
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw","41","410",23017,23017
"G0100430","1920","Alabama","010","Cullman","0430","Cullman","41","430",33034,33034
"G0100450","1920","Alabama","010","Dale","0450","Dale","41","450",22711,22711
"G0100470","1920","Alabama","010","Dallas","0470","Dallas","41","470",54697,54697
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb","41","490",34426,34426
"G0100510","1920","Alabama","010","Elmore","0510","Elmore","41","510",28085,28085
"G0100530","1920","Alabama","010","Escambia","0530","Escambia","41","530",22464,22464
"G0100550","1920","Alabama","010","Etowah","0550","Etowah","41","550",47275,47275
"G0100570","1920","Alabama","010","Fayette","0570","Fayette","41","570",18365,18365
