GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BDP001,BEQ001
"G0100010","1930","Alabama","010","Autauga","0010","Autauga","41","10",19694,19694
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin","41","30",28289,28289
"G0100050","1930","Alabama","010","Barbour","0050","Barbour","41","50",32425,32425
"G0100070","1930","Alabama","010","Bibb","0070","Bibb","41","70",20780,20780
"G0100090","1930","Alabama","010","Blount","0090","Blount","41","90",28020,28020
"G0100110","1930","Alabama","010","Bullock","0110","Bullock","41","110",20016,20016
"G0100130","1930","Alabama","010","Butler","0130","Butler","41","130",30195,30195
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun","41","150",55611,55611
"G0100170","1930","Alabama","010","Chambers","0170","Chambers","41","170",39313,39313
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee","41","190",20219,20219
"G0100210","1930","Alabama","010","Chilton","0210","Chilton","41","210",24579,24579
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw","41","230",20513,20513
"G0100250","1930","Alabama","010","Clarke","0250","Clarke","41","250",26016,26016
"G0100270","1930","Alabama","010","Clay","0270","Clay","41","270",17768,17768
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne","41","290",12877,12877
"G0100310","1930","Alabama","010","Coffee","0310","Coffee","41","310",32556,32556
"G0100330","1930","Alabama","010","Colbert","0330","Colbert","41","330",29860,29860
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh","41","350",25429,25429
"G0100370","1930","Alabama","010","Coosa","0370","Coosa","41","370",12460,12460
"G0100390","1930","Alabama","010","Covington","0390","Covington","41","390",41356,41356
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw","41","410",23656,23656
"G0100430","1930","Alabama","010","Cullman","0430","Cullman","41","430",41051,41051
"G0100450","1930","Alabama","010","Dale","0450","Dale","41","450",23175,23175
"G0100470","1930","Alabama","010","Dallas","0470","Dallas","41","470",55094,55094
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb","41","490",40104,40104
"G0100510","1930","Alabama","010","Elmore","0510","Elmore","41","510",34280,34280
"G0100530","1930","Alabama","010","Escambia","0530","Escambia","41","530",27963,27963
"G0100550","1930","Alabama","010","Etowah","0550","Etowah","41","550",63399,63399
