GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0100010","1950","Alabama","010","Autauga","0010","Autauga","41","10",18186,"Decrease 0% to 19%"
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin","41","30",40997,"Increase 20% to 39%"
"G0100050","1950","Alabama","010","Barbour","0050","Barbour","41","50",28892,"Decrease 0% to 19%"
"G0100070","1950","Alabama","010","Bibb","0070","Bibb","41","70",17987,"Decrease 0% to 19%"
"G0100090","1950","Alabama","010","Blount","0090","Blount","41","90",28975,"Decrease 0% to 19%"
"G0100110","1950","Alabama","010","Bullock","0110","Bullock","41","110",16054,"Decrease 0% to 19%"
"G0100130","1950","Alabama","010","Butler","0130","Butler","41","130",29228,"Decrease 0% to 19%"
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun","41","150",79539,"Increase 20% to 39%"
"G0100170","1950","Alabama","010","Chambers","0170","Chambers","41","170",39528,"Decrease 0% to 19%"
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee","41","190",17634,"Decrease 0% to 19%"
"G0100210","1950","Alabama","010","Chilton","0210","Chilton","41","210",26922,"Decrease 0% to 19%"
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw","41","230",19152,"Decrease 0% to 19%"
"G0100250","1950","Alabama","010","Clarke","0250","Clarke","41","250",26548,"Decrease 0% to 19%"
"G0100270","1950","Alabama","010","Clay","0270","Clay","41","270",13929,"Decrease 0% to 19%"
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne","41","290",11904,"Decrease 0% to 19%"
"G0100310","1950","Alabama","010","Coffee","0310","Coffee","41","310",30720,"Decrease 0% to 19%"
"G0100330","1950","Alabama","010","Colbert","0330","Colbert","41","330",39561,"Increase 0% to 19%"
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh","41","350",21776,"Decrease 0% to 19%"
"G0100370","1950","Alabama","010","Coosa","0370","Coosa","41","370",11766,"Decrease 0% to 19%"
"G0100390","1950","Alabama","010","Covington","0390","Covington","41","390",40373,"Decrease 0% to 19%"
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw","41","410",18981,"Decrease 0% to 19%"
"G0100430","1950","Alabama","010","Cullman","0430","Cullman","41","430",49046,"Increase 0% to 19%"
"G0100450","1950","Alabama","010","Dale","0450","Dale","41","450",20828,"Decrease 0% to 19%"
"G0100470","1950","Alabama","010","Dallas","0470","Dallas","41","470",56270,"Increase 0% to 19%"
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb","41","490",45048,"Increase 0% to 19%"
"G0100510","1950","Alabama","010","Elmore","0510","Elmore","41","510",31649,"Decrease 0% to 19%"
"G0100530","1950","Alabama","010","Escambia","0530","Escambia","41","530",31443,"Increase 0% to 19%"
"G0100550","1950","Alabama","010","Etowah","0550","Etowah","41","550",93892,"Increase 20% to 39%"
"G0100570","1950","Alabama","010","Fayette","0570","Fayette","41","570",19388,"Decrease 0% to 19%"
"G0100590","1950","Alabama","010","Franklin","0590","Franklin","41","590",25705,"Decrease 0% to 19%"
"G0100610","1950","Alabama","010","Geneva","0610","Geneva","41","610",25899,"Decrease 0% to 19%"
"G0100630","1950","Alabama","010","Greene","0630","Greene","41","630",16482,"Decrease 0% to 19%"
"G0100650","1950","Alabama","010","Hale","0650","Hale","41","650",20832,"Decrease 0% to 19%"
"G0100670","1950","Alabama","010","Henry","0670","Henry","41","670",18674,"Decrease 0% to 19%"
"G0100690","1950","Alabama","010","Houston","0690","Houston","41","690",46522,"Increase 0% to 19%"
"G0100710","1950","Alabama","010","Jackson","0710","Jackson","41","710",38998,"Decrease 0% to 19%"
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson","41","730",558928,"Increase 20% to 39%"
"G0100750","1950","Alabama","010","Lamar","0750","Lamar","41","750",16441,"Decrease 0% to 19%"
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale","41","770",54179,"Increase 0% to 19%"
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence","41","790",27128,"Decrease 0% to 19%"
"G0100810","1950","Alabama","010","Lee","0810","Lee","41","810",45073,"Increase 20% to 39%"
"G0100830","1950","Alabama","010","Limestone","0830","Limestone","41","830",35766,"Increase 0% to 19%"
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes","41","850",18018,"Decrease 20% to 39%"
"G0100870","1950","Alabama","010","Macon","0870","Macon","41","870",30561,"Increase 0% to 19%"
"G0100890","1950","Alabama","010","Madison","0890","Madison","41","890",72903,"Increase 0% to 19%"
"G0100910","1950","Alabama","010","Marengo","0910","Marengo","41","910",29494,"Decrease 0% to 19%"
"G0100930","1950","Alabama","010","Marion","0930","Marion","41","930",27264,"Decrease 0% to 19%"
"G0100950","1950","Alabama","010","Marshall","0950","Marshall","41","950",45090,"Increase 0% to 19%"
"G0100970","1950","Alabama","010","Mobile","0970","Mobile","41","970",231105,"Increase 60% to 79%"
"G0100990","1950","Alabama","010","Monroe","0990","Monroe","41","990",25732,"Decrease 0% to 19%"
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery","41","1010",138965,"Increase 20% to 39%"
"G0101030","1950","Alabama","010","Morgan","1030","Morgan","41","1030",52924,"Increase 0% to 19%"
"G0101050","1950","Alabama","010","Perry","1050","Perry","41","1050",20439,"Decrease 20% to 39%"
"G0101070","1950","Alabama","010","Pickens","1070","Pickens","41","1070",24349,"Decrease 0% to 19%"
"G0101090","1950","Alabama","010","Pike","1090","Pike","41","1090",30608,"Decrease 0% to 19%"
"G0101110","1950","Alabama","010","Randolph","1110","Randolph","41","1110",22513,"Decrease 0% to 19%"
"G0101130","1950","Alabama","010","Russell","1130","Russell","41","1130",40364,"Increase 0% to 19%"
