GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B5O001
"G0100010","1960","Alabama","010","Autauga","0010","Autauga","41","10",18739
"G0100030","1960","Alabama","010","Baldwin","0030","Baldwin","41","30",49088
"G0100050","1960","Alabama","010","Barbour","0050","Barbour","41","50",24700
"G0100070","1960","Alabama","010","Bibb","0070","Bibb","41","70",14357
"G0100090","1960","Alabama","010","Blount","0090","Blount","41","90",25449
"G0100110","1960","Alabama","010","Bullock","0110","Bullock","41","110",13462
"G0100130","1960","Alabama","010","Butler","0130","Butler","41","130",24560
"G0100150","1960","Alabama","010","Calhoun","0150","Calhoun","41","150",95878
"G0100170","1960","Alabama","010","Chambers","0170","Chambers","41","170",37828
"G0100190","1960","Alabama","010","Cherokee","0190","Cherokee","41","190",16303
"G0100210","1960","Alabama","010","Chilton","0210","Chilton","41","210",25693
"G0100230","1960","Alabama","010","Choctaw","0230","Choctaw","41","230",17870
"G0100250","1960","Alabama","010","Clarke","0250","Clarke","41","250",25738
"G0100270","1960","Alabama","010","Clay","0270","Clay","41","270",12400
"G0100290","1960","Alabama","010","Cleburne","0290","Cleburne","41","290",10911
"G0100310","1960","Alabama","010","Coffee","0310","Coffee","41","310",30583
"G0100330","1960","Alabama","010","Colbert","0330","Colbert","41","330",46506
"G0100350","1960","Alabama","010","Conecuh","0350","Conecuh","41","350",17762
"G0100370","1960","Alabama","010","Coosa","0370","Coosa","41","370",10726
"G0100390","1960","Alabama","010","Covington","0390","Covington","41","390",35631
"G0100410","1960","Alabama","010","Crenshaw","0410","Crenshaw","41","410",14909
"G0100430","1960","Alabama","010","Cullman","0430","Cullman","41","430",45572
"G0100450","1960","Alabama","010","Dale","0450","Dale","41","450",31066
"G0100470","1960","Alabama","010","Dallas","0470","Dallas","41","470",56667
"G0100490","1960","Alabama","010","DeKalb","0490","Dekalb","41","490",41417
"G0100510","1960","Alabama","010","Elmore","0510","Elmore","41","510",30524
"G0100530","1960","Alabama","010","Escambia","0530","Escambia","41","530",33511
"G0100550","1960","Alabama","010","Etowah","0550","Etowah","41","550",96980
"G0100570","1960","Alabama","010","Fayette","0570","Fayette","41","570",16148
"G0100590","1960","Alabama","010","Franklin","0590","Franklin","41","590",21988
"G0100610","1960","Alabama","010","Geneva","0610","Geneva","41","610",22310
"G0100630","1960","Alabama","010","Greene","0630","Greene","41","630",13600
"G0100650","1960","Alabama","010","Hale","0650","Hale","41","650",19537
"G0100670","1960","Alabama","010","Henry","0670","Henry","41","670",15286
"G0100690","1960","Alabama","010","Houston","0690","Houston","41","690",50718
