GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C1I001
"G0100010","1970","Alabama","01","Autauga","001",,,,,,,"Autauga","1",,"05",24460
"G0100030","1970","Alabama","01","Baldwin","003",,,,,"5160",,"Baldwin","1",,"08",59382
"G0100050","1970","Alabama","01","Barbour","005",,,,,,,"Barbour","1",,"09",22543
"G0100070","1970","Alabama","01","Bibb","007",,,,,,,"Bibb","1",,"05",13812
"G0100090","1970","Alabama","01","Blount","009",,,,,,,"Blount","1",,"02",26853
"G0100110","1970","Alabama","01","Bullock","011",,,,,,,"Bullock","1",,"06",11824
"G0100130","1970","Alabama","01","Butler","013",,,,,,,"Butler","1",,"09",22007
"G0100150","1970","Alabama","01","Calhoun","015",,,,,,,"Calhoun","1",,"03",103092
"G0100170","1970","Alabama","01","Chambers","017",,,,,,,"Chambers","1",,"04",36356
"G0100190","1970","Alabama","01","Cherokee","019",,,,,,,"Cherokee","1",,"03",15606
"G0100210","1970","Alabama","01","Chilton","021",,,,,,,"Chilton","1",,"05",25180
"G0100230","1970","Alabama","01","Choctaw","023",,,,,,,"Choctaw","1",,"07",16589
"G0100250","1970","Alabama","01","Clarke","025",,,,,,,"Clarke","1",,"07",26724
"G0100270","1970","Alabama","01","Clay","027",,,,,,,"Clay","1",,"04",12636
"G0100290","1970","Alabama","01","Cleburne","029",,,,,,,"Cleburne","1",,"04",10996
"G0100310","1970","Alabama","01","Coffee","031",,,,,,,"Coffee","1",,"09",34872
"G0100330","1970","Alabama","01","Colbert","033",,,,,,,"Colbert","1",,"01",49632
"G0100350","1970","Alabama","01","Conecuh","035",,,,,,,"Conecuh","1",,"09",15645
"G0100370","1970","Alabama","01","Coosa","037",,,,,,,"Coosa","1",,"04",10662
"G0100390","1970","Alabama","01","Covington","039",,,,,,,"Covington","1",,"09",34079
"G0100410","1970","Alabama","01","Crenshaw","041",,,,,,,"Crenshaw","1",,"09",13188
"G0100430","1970","Alabama","01","Cullman","043",,,,,,,"Cullman","1",,"02",52445
"G0100450","1970","Alabama","01","Dale","045",,,,,,,"Dale","1",,"09",52938
"G0100470","1970","Alabama","01","Dallas","047",,,,,,,"Dallas","1",,"06",55296
"G0100490","1970","Alabama","01","DeKalb","049",,,,,"5160",,"De Kalb","1",,"02",41981
"G0100510","1970","Alabama","01","Elmore","051",,,,,"5240",,"Elmore","0",,"05",33535
"G0100530","1970","Alabama","01","Escambia","053",,,,,"5240",,"Escambia","1",,"08",34906
"G0100550","1970","Alabama","01","Etowah","055",,,,,"2880",,"Etowah","0",,"03",94144
"G0100570","1970","Alabama","01","Fayette","057",,,,,,,"Fayette","1",,"05",16252
"G0100590","1970","Alabama","01","Franklin","059",,,,,,,"Franklin","1",,"05",23933
"G0100610","1970","Alabama","01","Geneva","061",,,,,,,"Geneva","1",,"09",21924
"G0100630","1970","Alabama","01","Greene","063",,,,,,,"Greene","1",,"06",10650
"G0100650","1970","Alabama","01","Hale","065",,,,,,,"Hale","1",,"06",15888
"G0100670","1970","Alabama","01","Henry","067",,,,,,,"Henry","1",,"09",13254
"G0100690","1970","Alabama","01","Houston","069",,,,,,,"Houston","1",,"09",56574
"G0100710","1970","Alabama","01","Jackson","071",,,,,"2880",,"Jackson","1",,"02",39202
"G0100730","1970","Alabama","01","Jefferson","073",,,,,"1000",,"Jefferson","0",,"A",644991
"G0100750","1970","Alabama","01","Lamar","075",,,,,,,"Lamar","1",,"05",14335
"G0100770","1970","Alabama","01","Lauderdale","077",,,,,,,"Lauderdale","1",,"01",68111
"G0100790","1970","Alabama","01","Lawrence","079",,,,,,,"Lawrence","1",,"01",27281
"G0100810","1970","Alabama","01","Lee","081",,,,,"1000",,"Lee","1",,"04",61268
"G0100830","1970","Alabama","01","Limestone","083",,,,,"3440",,"Limestone","1",,"01",41699
"G0100850","1970","Alabama","01","Lowndes","085",,,,,,,"Lowndes","1",,"06",12897
"G0100870","1970","Alabama","01","Macon","087",,,,,,,"Macon","1",,"05",24841
"G0100890","1970","Alabama","01","Madison","089",,,,,"3440",,"Madison","0",,"F",186540
"G0100910","1970","Alabama","01","Marengo","091",,,,,,,"Marengo","1",,"06",23819
"G0100930","1970","Alabama","01","Marion","093",,,,,,,"Marion","1",,"05",23788
"G0100950","1970","Alabama","01","Marshall","095",,,,,"3440",,"Marshall","1",,"02",54211
"G0100970","1970","Alabama","01","Mobile","097",,,,,"5160",,"Mobile","0",,"D",317308
"G0100990","1970","Alabama","01","Monroe","099",,,,,"5160",,"Monroe","1",,"09",20883
"G0101010","1970","Alabama","01","Montgomery","101",,,,,"5240",,"Montgomery","0",,"C",167790
"G0101030","1970","Alabama","01","Morgan","103",,,,,,,"Morgan","1",,"01",77306
