datetime,year,counts,temp_rank,shape
1906-11-11 00:00:00,1906,1.0,1.0,other
1910-01-02 00:00:00,1910,1.0,1.0,disk
1910-06-01 15:00:00,1910,1.0,2.0,cigar
1916-04-05 13:00:00,1916,1.0,1.0,cigar
1920-06-11 21:00:00,1920,1.0,1.0,unknown
1925-12-28 18:00:00,1925,1.0,1.0,disk
1929-07-05 14:00:00,1929,1.0,1.0,disk
1930-06-01 22:00:00,1930,1.0,1.0,triangle
1931-02-15 14:00:00,1931,1.0,1.0,oval
1931-06-01 13:00:00,1931,1.0,2.0,disk
1933-04-18 19:00:00,1933,1.0,1.0,light
1934-09-15 15:30:00,1934,1.0,1.0,disk
1936-09-15 19:00:00,1936,1.0,1.0,rectangle
1936-10-15 17:00:00,1936,1.0,2.0,cigar
1937-06-16 00:00:00,1937,1.0,1.0,cylinder
1937-08-15 21:00:00,1937,1.0,2.0,light
1939-06-01 20:00:00,1939,1.0,1.0,fireball
1939-06-30 20:00:00,1939,1.0,2.0,sphere
1939-07-07 02:00:00,1939,1.0,3.0,oval
1941-06-01 13:00:00,1941,1.0,1.0,disk
1942-06-01 22:30:00,1942,1.0,1.0,unknown
1942-07-15 01:00:00,1942,1.0,2.0,rectangle
1943-01-18 07:15:00,1943,,,
1943-04-30 23:00:00,1943,1.0,1.0,other
1943-06-01 15:00:00,1943,1.0,2.0,disk
1943-06-01 19:00:00,1943,1.0,3.0,cigar
1943-06-08 14:00:00,1943,2.0,7.0,light
1943-08-13 22:00:00,1943,1.0,4.0,sphere
1943-08-15 00:00:00,1943,1.0,5.0,unknown
1943-10-15 11:00:00,1943,1.0,6.0,rectangle
1944-01-01 12:00:00,1944,2.0,4.0,cigar
1944-04-02 11:00:00,1944,4.0,5.0,disk
1944-06-01 19:00:00,1944,1.0,1.0,circle
1944-07-01 20:00:00,1944,1.0,2.0,sphere
1944-07-15 13:00:00,1944,1.0,3.0,cylinder
1945-04-01 10:00:00,1945,4.0,5.0,disk
1945-06-01 13:30:00,1945,1.0,1.0,fireball
1945-07-10 01:30:00,1945,1.0,2.0,formation
1945-07-15 14:00:00,1945,2.0,4.0,sphere
1945-08-16 11:30:00,1945,1.0,3.0,oval
1946-01-08 02:00:00,1946,3.0,7.0,disk
1946-02-01 17:00:00,1946,2.0,6.0,sphere
1946-06-15 14:00:00,1946,1.0,1.0,cigar
1946-06-30 21:00:00,1946,1.0,2.0,fireball
1946-07-01 13:30:00,1946,1.0,3.0,oval
1946-09-13 00:00:00,1946,1.0,4.0,formation
1946-09-30 20:30:00,1946,1.0,5.0,flash
1947-01-01 17:00:00,1947,4.0,9.0,circle
1947-01-10 20:00:00,1947,3.0,6.0,other
1947-01-15 10:00:00,1947,11.0,11.0,disk
1947-04-15 23:00:00,1947,1.0,1.0,triangle
1947-06-01 02:30:00,1947,1.0,2.0,light
1947-06-01 18:00:00,1947,,,
1947-06-02 00:00:00,1947,4.0,10.0,unknown
1947-06-30 18:00:00,1947,3.0,7.0,oval
1947-07-01 20:00:00,1947,2.0,4.0,formation
1947-07-14 10:30:00,1947,3.0,8.0,cigar
1947-07-15 15:00:00,1947,2.0,5.0,cylinder
1947-07-15 21:00:00,1947,1.0,3.0,chevron
1948-05-10 19:00:00,1948,1.0,1.0,sphere
1948-06-02 00:00:00,1948,1.0,2.0,rectangle
1948-06-15 16:00:00,1948,1.0,3.0,disk
1948-06-30 00:00:00,1948,2.0,5.0,oval
1948-07-15 22:00:00,1948,1.0,4.0,light
1948-08-01 02:00:00,1948,2.0,6.0,circle
1949-04-10 15:00:00,1949,5.0,8.0,disk
1949-05-01 14:00:00,1949,2.0,5.0,other
1949-05-15 06:30:00,1949,3.0,7.0,light
1949-07-01 16:00:00,1949,1.0,1.0,formation
1949-07-15 20:30:00,1949,1.0,2.0,unknown
1949-08-15 00:00:00,1949,2.0,6.0,circle
1949-10-10 20:30:00,1949,1.0,3.0,cylinder
1949-10-15 20:00:00,1949,1.0,4.0,cigar
1950-01-02 00:00:00,1950,4.0,8.0,oval
1950-04-15 08:00:00,1950,13.0,9.0,disk
1950-06-12 10:30:00,1950,1.0,1.0,circle
1950-06-20 17:00:00,1950,2.0,5.0,sphere
1950-06-30 17:30:00,1950,3.0,7.0,light
1950-07-02 13:00:00,1950,1.0,2.0,cigar
1950-07-15 23:00:00,1950,1.0,3.0,formation
1950-08-01 04:00:00,1950,2.0,6.0,other
1950-10-15 15:00:00,1950,1.0,4.0,triangle
1951-01-20 04:30:00,1951,4.0,5.0,cigar
1951-02-03 22:00:00,1951,9.0,6.0,disk
1951-06-03 13:00:00,1951,1.0,1.0,oval
1951-06-30 19:00:00,1951,1.0,2.0,unknown
1951-07-01 14:00:00,1951,,,
1951-07-03 12:00:00,1951,2.0,3.0,sphere
1951-08-10 01:00:00,1951,2.0,4.0,circle
1952-02-10 21:00:00,1952,17.0,11.0,disk
1952-04-15 16:00:00,1952,2.0,4.0,triangle
1952-06-01 11:00:00,1952,,,
1952-06-01 12:00:00,1952,7.0,10.0,circle
1952-06-01 22:00:00,1952,1.0,1.0,fireball
1952-06-16 00:00:00,1952,1.0,2.0,egg
1952-06-16 00:00:00,1952,2.0,5.0,cigar
1952-06-21 22:00:00,1952,6.0,9.0,other
1952-06-22 17:45:00,1952,5.0,8.0,oval
1952-07-01 22:00:00,1952,4.0,7.0,sphere
1952-08-15 22:15:00,1952,1.0,3.0,light
1952-10-16 00:00:00,1952,2.0,6.0,cylinder
1953-01-01 14:00:00,1953,3.0,7.0,cigar
1953-01-02 00:00:00,1953,,,
1953-04-01 15:00:00,1953,1.0,1.0,chevron
1953-04-01 18:00:00,1953,2.0,4.0,sphere
1953-04-10 13:00:00,1953,3.0,8.0,other
1953-04-15 12:00:00,1953,4.0,10.0,fireball
1953-05-15 16:00:00,1953,8.0,11.0,disk
1953-06-15 18:00:00,1953,3.0,9.0,circle
1953-06-30 15:00:00,1953,2.0,5.0,oval
1953-07-13 21:00:00,1953,2.0,6.0,light
1953-07-15 13:00:00,1953,1.0,2.0,cylinder
1953-07-17 22:00:00,1953,1.0,3.0,cone
1954-01-01 22:00:00,1954,10.0,13.0,circle
1954-02-01 02:00:00,1954,3.0,9.0,unknown
1954-02-15 19:30:00,1954,17.0,14.0,disk
1954-05-15 12:00:00,1954,1.0,1.0,diamond
1954-06-01 08:00:00,1954,1.0,2.0,cylinder
1954-06-01 19:00:00,1954,5.0,12.0,light
1954-06-10 20:00:00,1954,2.0,7.0,cigar
1954-06-23 02:00:00,1954,4.0,11.0,other
1954-06-30 23:00:00,1954,2.0,8.0,fireball
1954-07-01 00:00:00,1954,,,
1954-07-07 22:00:00,1954,1.0,3.0,formation
1954-07-12 17:30:00,1954,1.0,4.0,changing
1954-07-15 21:00:00,1954,1.0,5.0,chevron
1954-08-01 12:00:00,1954,3.0,10.0,oval
1954-08-01 17:00:00,1954,1.0,6.0,triangle
1955-02-15 19:00:00,1955,6.0,6.0,light
1955-02-15 21:55:00,1955,4.0,4.0,fireball
1955-05-01 15:00:00,1955,2.0,2.0,egg
1955-06-01 02:00:00,1955,5.0,5.0,circle
1955-06-01 15:29:00,1955,9.0,7.0,disk
1955-06-15 08:00:00,1955,,,
1955-06-30 13:00:00,1955,3.0,3.0,cigar
1955-07-15 14:00:00,1955,1.0,1.0,oval
1956-01-01 05:30:00,1956,10.0,16.0,disk
1956-03-01 13:00:00,1956,1.0,1.0,oval
1956-03-22 17:30:00,1956,4.0,11.0,sphere
1956-05-01 12:00:00,1956,5.0,14.0,cigar
1956-05-15 20:00:00,1956,4.0,12.0,light
1956-05-17 10:22:00,1956,6.0,15.0,circle
1956-06-01 19:00:00,1956,4.0,13.0,other
1956-06-01 20:00:00,1956,1.0,2.0,cylinder
1956-06-06 12:00:00,1956,1.0,3.0,egg
1956-06-15 18:00:00,1956,1.0,4.0,fireball
1956-06-15 20:00:00,1956,1.0,5.0,flash
1956-06-30 13:00:00,1956,1.0,6.0,diamond
1956-06-30 18:30:00,1956,1.0,7.0,triangle
1956-07-12 19:00:00,1956,3.0,10.0,unknown
1956-10-01 19:00:00,1956,1.0,8.0,rectangle
1956-12-01 23:00:00,1956,1.0,9.0,formation
